,LINIEN_TEXT,HALTESTELLEN_NAME,shape,mean,std
0,13,"Zürich, Museum für Gestaltung",0.03089260898260393,-69.65912041455495,70.69186762094
1,13,"Zürich, Waidfussweg",0.03214558127352098,-66.05123167303253,67.04855311392136
2,308,"Urdorf, Spitzacker",0.06939545938219226,-27.443906360531663,28.496919144507324
3,4,"Zürich, Sportweg",0.018694595012416326,-113.71825725170889,114.92033275519694
4,40,"Zürich, Buhnstrasse",0.04317049172133504,-28.041311437299477,29.159382078372502
5,66,"Zürich, Zwinglihaus",0.06577413921720678,-31.669461758165525,32.72479852002317
6,701,"Zürich, Loorenstrasse",2.748434590583753,-18.00008390035228,1.836693728669563
7,IR,Zürich Flughafen,0.4745905184541732,-2.4380410938891464,2.7024925224624656
8,N14,"Zürich, In der Ey",0.09862120204989233,-67.78320207379599,70.27286187286194
9,N17,"Dübendorf, Breitibach",0.11160127054492713,-12.699954151229303,13.972265428015833
10,N23,"Stallikon, Dorf",0.720814522672707,-4.3397877024660385,4.02167213395232
11,N6,"Zürich, Ottikerstrasse",0.0007092702647933573,-4413.037978183507,4414.232214449936
12,33,"Zürich, Wildbachstrasse",3.9322864061501703,-48.00000015769807,0.8118302218862679
13,17,"Zürich, Sonneggstrasse",0.004867745743137652,-226.0634477827341,226.8017593400283
14,34,"Zürich, Berghaldenstrasse",0.07991429661185642,-14.041961409190101,15.335369380545576
15,SN4,Zürich Brunau,0.3840578292198412,-1.199304111844966,2.2272734114140658
16,15,"Zürich, Rathaus",0.04243541948070473,-49.83222870957258,50.759567778643905
17,165,"Kilchberg ZH, Schooren",0.061859560112115686,-21.500114778728488,22.74926856971667
18,221,"Wettswil a.A., Schürli",0.02304252923445723,-49.250209596649924,50.85195078854753
19,314,"Birmensdorf ZH, Ristet",0.08279026368913077,-15.717229970459712,16.83764393884158
20,4,"Zürich, Bahnhofquai/HB",0.021647822842946356,-90.48949752895592,91.67454274441843
21,4,"Zürich, Werdhölzli",0.2630059589567996,-29.870649941999076,33.26739454671886
22,491,"Regensdorf, Zentrum Ost",0.1626222889473336,-5.41463259028148,6.747684825833186
23,61,"Zürich, Regensbergbrücke",2.388717613781055,-11.00009261900988,1.5203336670470435
24,67,"Zürich, Dunkelhölzli",0.05032571900692778,-35.405114870004155,36.518742043478426
25,762,"Glattbrugg, Bahnhof",0.1301009723225816,-6.850436041831857,7.982428801220356
26,8,"Zürich, Hardturm",0.01421619771794099,-197.2714823933654,198.88465983300023
27,80,"Zürich, Winzerstrasse",0.05490999632626538,-43.69670117573816,45.13762653415603
28,S,Zürich Giesshübel,0.24887124863385124,-1.6323714010297237,2.64547701197195
29,9,"Zürich, Bahnhofquai/HB",0.18187911559899644,-7.4547341101802775,8.632299977767637
30,8E,"Zürich, Stauffacher",0.23807552982844385,-2.4051423326430745,3.6132100472907758
31,11,"Zürich, Kronenstrasse",0.011810165234944391,-168.6749100915751,169.55326886221587
32,15,"Zürich, Helmhaus",0.04248998850100603,-49.60058647966545,50.59749029949272
33,17,"Zürich, Quellenstrasse",0.02317383719204234,-90.30613682862527,91.1628574720111
34,210,"Wettswil a.A., Grund",0.3196996632979382,-2.3498186467665914,3.505752971082
35,6,"Zürich, Letzistrasse",0.05361234842782832,-24.46213864683959,25.241320144990624
36,748,"Dübendorf, Im Grund",0.39837223811898026,-1.5740074893637206,2.893594624242289
37,759,"Wangen, Flugsicherungsstrasse",0.7475181224559062,-2.00084064852339,1.5765332017146207
38,77,"Zürich, Flühgasse",0.07170793077779837,-13.536934097707455,14.742146428174031
39,8,"Zürich, Kunsthaus",0.03889169333742861,-39.33365798439605,40.27443219782038
40,912,"Zürich, Opernhaus",3.7129507175561223,-52.00000138399316,1.3416523727517982
41,AG,Zürich HB,1.5885898221401278,-2.5455697768690653e-20,1.5767989860128996e-19
42,N14,"Birmensdorf ZH, Untere Risi",0.2631224862268304,-2.3884158302741896,2.7133069351692276
43,N23,"Stallikon, Aegerten",0.5808255145589857,-6.412160211686441,6.074703572494824
44,N30,"Weiningen ZH, Lindenplatz",4.034003113721457,-114.00000031090678,3.632744759236985
45,N7,"Zürich, Radiostudio",0.000658460170729335,-5538.9003212685675,5540.869085274848
46,S42,Zürich HB,0.428225126351775,-3.2971703073743712,3.796855970203652
47,302,"Schlieren, Zentrum",0.09988184488909452,-15.709382098234428,17.026446265952657
48,6,"Zürich, Ottikerstrasse",0.05349391555892642,-23.422309953545188,24.705082737528237
49,11,"Zürich, Kreuzstrasse",0.6833036645539212,-3.2405864025625055,4.660742269050484
50,142,"Thalwil, Trotte",3.089249759864376,-34.00004363654325,0.7499902826252136
51,156,"Rüschlikon, Eggrain",0.17892245673069918,-3.2672300551946547,4.462612740097418
52,184,"Adliswil, Bahnhof",0.23031474117995293,-2.8497288873002944,4.019973119721792
53,185,"Zürich, Sunnau",0.034516760290491375,-33.35762459993525,34.57412144451371
54,2,"Zürich, Höschgasse",0.03968346439453348,-31.647393661662633,32.42739918325081
55,2,"Zürich,Kalkbreite/Bhf.Wiedikon",0.03184374273724834,-42.02071429171833,42.82604483305499
56,228,"Bonstetten, Lärchenhof",0.1292964321108809,-11.531633184321793,13.03914277318431
57,3,"Zürich,Kalkbreite/Bhf.Wiedikon",0.022018343626036538,-72.58608955370686,73.3702009150746
58,308,"Oberengstringen, Zentrum",0.061119974135532606,-33.94121552967377,35.43338560103914
59,491,"Zürich, Zehntenhausplatz",0.2984579074047337,-3.371180202665353,4.413037069215466
60,704,"Zürich, Klusplatz",2.2202633753561676,-59.01537359476359,38.661262627094004
